;FQ1;OUT A;OUT B;FQ2;OUT A;OUT B;
0;-4,1127615;-4,1366115;0;-4,1113877;-4,1578093;
0,1;-3,777612;-3,8009372;0,1;-3,8217306;-3,82429;
0,2;-3,7143364;-3,7466955;0,2;-3,7514195;-3,7563488;
0,3;-3,5550156;-3,6045237;0,3;-3,5919957;-3,5917637;
0,5;-3,4867544;-3,5471303;0,5;-3,5236323;-3,5230687;
0,6;-3,5219374;-3,5763879;0,6;-3,5683048;-3,5662158;
0,7;-3,5353472;-3,5924101;0,7;-3,5773518;-3,576664;
0,8;-3,5019734;-3,5595582;0,8;-3,552696;-3,544378;
1;-3,5633571;-3,6263623;1;-3,6050754;-3,6075349;
1,1;-3,5871241;-3,6316059;1,1;-3,6176848;-3,6142242;
1,2;-3,6246068;-3,6694624;1,2;-3,6517458;-3,6502666;
1,3;-3,6051698;-3,6612506;1,3;-3,6347821;-3,6434569;
1,5;-3,5930712;-3,6439829;1,5;-3,6465971;-3,6498151;
1,6;-3,61935;-3,673259;1,6;-3,6452107;-3,658576;
1,7;-3,6182613;-3,6779435;1,7;-3,6481044;-3,6477389;
1,8;-3,6681786;-3,7219217;1,8;-3,716826;-3,711947;
2;-3,6417346;-3,6934874;2;-3,6854081;-3,6801562;
2,1;-3,6499045;-3,7361581;2,1;-3,7071223;-3,7032642;
2,2;-3,6949058;-3,7628546;2,2;-3,7298048;-3,7227905;
2,3;-3,7007875;-3,7742772;2,3;-3,7499912;-3,742312;
2,5;-3,7445467;-3,8136828;2,5;-3,7842979;-3,782995;
2,6;-3,7015841;-3,7624545;2,6;-3,7392616;-3,7469604;
2,7;-3,7089655;-3,7733939;2,7;-3,7511866;-3,7472317;
2,8;-3,7213366;-3,7916517;2,8;-3,7564371;-3,7563832;
3;-3,6847622;-3,7574821;3;-3,7156403;-3,7118666;
3,1;-3,7298281;-3,7954578;3,1;-3,7579284;-3,7652411;
3,2;-3,7548201;-3,8104622;3,2;-3,7914491;-3,7703228;
3,3;-3,7832108;-3,8493752;3,3;-3,8219159;-3,8040013;
3,5;-3,7808957;-3,8528588;3,5;-3,8072155;-3,7901995;
3,6;-3,7740397;-3,8395014;3,6;-3,8097649;-3,7994192;
3,7;-3,7938373;-3,8636935;3,7;-3,8416138;-3,8434801;
3,8;-3,802654;-3,883626;3,8;-3,8563364;-3,8281882;
4;-3,8068922;-3,8932905;4;-3,8143942;-3,8151503;
4,1;-3,823945;-3,9069326;4,1;-3,8497787;-3,8590436;
4,2;-3,8511922;-3,9007292;4,2;-3,8752971;-3,8801682;
4,3;-3,8357437;-3,9023993;4,3;-3,8864374;-3,8798594;
