;AMPpm;AMPa;AMPb
20,7;4,34572;1,8585;3,10211
20,8;4,19519;-0,63661;1,77929
21;4,62567;-1,11472;1,755475
21,1;4,0902;-2,50596;0,79212
21,2;3,65647;-3,01907;0,3187
21,3;3,54829;-2,04958;0,749355
21,5;2,3935;-1,921;0,23625
21,6;0,808;-0,84533;-0,018665
21,7;0,25385;0,90194;0,577895
21,8;-2,90855;-0,88091;-1,89473
22;-5,47426;-3,11616;-4,29521
22,1;-9,43413;-7,52434;-8,479235
22,2;-15,29045;-11,55051;-13,42048
22,3;-15,93717;-16,29333;-16,11525
22,5;-21,71533;-20,14357;-20,92945
22,6;-29,55798;-24,17748;-26,86773
22,7;-35,0524;-38,41217;-36,732285
22,8;-38,46938;-34,46148;-36,46543
23;-27,85446;-28,77158;-28,31302
23,1;-31,50708;-31,83398;-31,67053
23,2;-34,35748;-41,75281;-38,055145
23,3;-42,49339;-39,09326;-40,793325
23,5;-32,50247;-27,28799;-29,89523
23,6;-31,23581;-28,80224;-30,019025
23,7;-32,32429;-31,94574;-32,135015
23,8;-28,38493;-36,92357;-32,65425
24;-42,43704;-37,40371;-39,920375
24,1;-33,28956;-43,20593;-38,247745
24,2;-29,31797;-33,4222;-31,370085
24,3;-29,93933;-35,42283;-32,68108
24,5;-41,00235;-37,09774;-39,050045
24,6;-31,40289;-33,72158;-32,562235
24,7;-24,16629;-29,11287;-26,63958
24,8;-34,61965;-34,13576;-34,377705
25;-33,8284;-30,39553;-32,111965
